,name,category,price,availability,href
961,"HP Pavilion 15-EH3050AU Laptop | AMD Ryzen™ 7 7730U 16GB 1TB SSD Backlit KB Fingerprint Reader Windows 11 15.6"" FHD (Official Warranty)",Laptops > Hp Laptops,"Rs.244,900",On Order Only,/laptops-hp-laptops-hp-pavilion-15-eh3050au-laptop-amd-ryzen™-7-7730u-16gb-1tb-ssd-backlit-kb-fingerprint-reader-windows-11-15-6-fhd-official-warranty-pakistan-p.16014.aspx
962,"CORSAIR XENEON 32UHD144-A 32"" IPS 1ms UHD 144Hz HDR600 Gaming Monitor 100% sRGB | NVIDIA G-Sync Compatible",LCD/LED Monitors > Corsair,"Rs.244,900",On Order Only,/lcd-led-monitors-corsair-corsair-xeneon-32uhd144-a-32-ips-1ms-uhd-144hz-hdr600-gaming-monitor-100-srgb-nvidia-g-sync-compatible-pakistan-p.15961.aspx
963,Epson L1800 A3 Photo Ink Tank Printer | Borderless A3+ Photo Printing,Printers > Ink Tank Printers,"Rs.245,000",On Order Only,/printers-ink-tank-printers-epson-l1800-a3-photo-ink-tank-printer-borderless-a3-photo-printing-pakistan-p.7157.aspx
964,Stabimatic On-Line ONL-10000B UPS With Batteries ONL-10KVA,UPS > Stabimatic UPS,"Rs.245,000",On Order Only,/ups-stabimatic-ups-stabimatic-on-line-onl-10000b-ups-with-batteries-onl-10kva-pakistan-p.11532.aspx
965,"HP ENVY x360 2-in-1 14-ES1023DX Laptop | Intel® Core™ 7 processor 150U 16GB 512GB SSD Backlit KB Fingerprint Reader 14"" FHD Touchscreen Windows 11 | Natural Silver",Laptops > Hp Laptops,"Rs.246,990",Out of Stock,/laptops-hp-laptops-hp-envy-x360-2-in-1-14-es1023dx-laptop-intel®-core™-7-processor-150u-16gb-512gb-ssd-backlit-kb-fingerprint-reader-14-fhd-touchscreen-windows-11-natural-silver-pakistan-p.15934.aspx
966,"Lenovo ThinkPad E16 Gen 1 Business Laptop - Intel Core i7-13700H 16GB 512GB SSD 16"" WUXGA IPS Backlit KB Fingerprint Reader | 21JN00CKGP | Graphite Black",Laptops > Lenovo Laptops,"Rs.253,900",In Stock,/laptops-lenovo-laptops-lenovo-thinkpad-e16-gen-1-business-laptop-intel-core-i7-13700h-16gb-512gb-ssd-16-wuxga-ips-backlit-kb-fingerprint-reader-21jn00ckgp-graphite-black-pakistan-p.15857.aspx
967,"Dell Latitude 3540 Laptop - Intel Core i7-1355U, 8GB, 512GB SSD, 15.6"" FHD Display, Backlit KB, Fingerprint Reader, Dell Backpack (Official Warranty)",Laptops > Dell Laptops,"Rs.259,500",On Order Only,/laptops-dell-laptops-dell-latitude-3540-laptop-intel-core-i7-1355u-8gb-512gb-ssd-15-6-fhd-display-backlit-kb-fingerprint-reader-dell-backpack-official-warranty-pakistan-p.15513.aspx
968,"Apple MacBook Air 13.3"" MGND3 Gold (Late 2020), M1 Chip | Non Active",Laptops > Apple Laptops,"Rs.265,000",On Order Only,/laptops-apple-laptops-apple-macbook-air-13-3-mgnd3-gold-late-2020-m1-chip-non-active-pakistan-p.10962.aspx
969,APC SRV3KI Easy UPS SRV 3000VA 230V,UPS > APC UPS,"Rs.265,000",On Order Only,/ups-apc-ups-apc-srv3ki-easy-ups-srv-3000va-230v-pakistan-p.8856.aspx
970,"Apple Mac mini - Apple M2 8-Core, 8GB, 512GB SSD, 10-Core GPU, 2023 | MMFK3",Desktop Computers > Apple Mac Mini,"Rs.265,000",On Order Only,/desktop-computers-apple-mac-mini-apple-mac-mini-apple-m2-8-core-8gb-512gb-ssd-10-core-gpu-2023-mmfk3-pakistan-p.14374.aspx
971,"Apple MacBook Air 13.3"" M1 Chip MGN93 Silver (Late 2020) | Non Active",Laptops > Apple Laptops,"Rs.270,000",On Order Only,/laptops-apple-laptops-apple-macbook-air-13-3-m1-chip-mgn93-silver-late-2020-non-active-pakistan-p.10583.aspx
972,"HP Pavilion x360 2-in-1 Laptop 14-EK1056TU (832P1PA) - Intel® Core™ i7-1355U 16GB 1TB Backlit KB Windows 11 14"" FHD IPS Touchscreen (Official Warranty)",Laptops > Hp Laptops,"Rs.274,900",On Order Only,/laptops-hp-laptops-hp-pavilion-x360-2-in-1-laptop-14-ek1056tu-832p1pa-intel®-core™-i7-1355u-16gb-1tb-backlit-kb-windows-11-14-fhd-ips-touchscreen-official-warranty-pakistan-p.15881.aspx
973,"Lenovo LOQ 15APH8 Gaming Laptop - AMD Ryzen™ 7 7840HS 8GB DDR5 512GB SSD NVIDIA GeForce RTX 4050 6GB 15.6"" FHD IPS Windows 11 | 82XT001NUS - Storm Grey",Laptops > Lenovo Laptops,"Rs.275,000",Out of Stock,/laptops-lenovo-laptops-lenovo-loq-15aph8-gaming-laptop-amd-ryzen™-7-7840hs-8gb-ddr5-512gb-ssd-nvidia-geforce-rtx-4050-6gb-15-6-fhd-ips-windows-11-82xt001nus-storm-grey-pakistan-p.15789.aspx
974,"MSI Cyborg 15 A13UDX Gaming Laptop - Intel® Core™ i7-13700H 8GB 512GB SSD NVIDIA® GeForce RTX™ 3050 6GB 15.6"" FHD IPS 144Hz Backlit KB",Laptops > MSI Laptops,"Rs.279,900",On Order Only,/laptops-msi-laptops-msi-cyborg-15-a13udx-gaming-laptop-intel®-core™-i7-13700h-8gb-512gb-ssd-nvidia®-geforce-rtx™-3050-6gb-15-6-fhd-ips-144hz-backlit-kb-pakistan-p.15971.aspx
975,"Apple iPad Pro 11"" - Apple M2 Chip - 256GB - MNXF3 | Space Gray - 2022 - 4th Gen - WiFi Only",Tablet PC > Apple Ipad,"Rs.280,000",On Order Only,/tablet-pc-apple-ipad-apple-ipad-pro-11-apple-m2-chip-256gb-mnxf3-space-gray-2022-4th-gen-wifi-only-pakistan-p.14204.aspx
976,"Apple iPad Pro 11"" - Apple M2 Chip - 256GB - MNXG3 | Silver - 2022 - 4th Gen - WiFi Only",Tablet PC > Apple Ipad,"Rs.280,000",On Order Only,/tablet-pc-apple-ipad-apple-ipad-pro-11-apple-m2-chip-256gb-mnxg3-silver-2022-4th-gen-wifi-only-pakistan-p.14205.aspx
977,"HP Envy x360 2-in-1 16-AC0023DX Laptop | Intel® Core™ Ultra 7 processor 155U, 16GB DDR5, 1TB SSD, Backlit KB, 16"" WUXGA Touchscreen | Glacier Silver",Laptops > Hp Laptops,"Rs.281,900",On Order Only,/laptops-hp-laptops-hp-envy-x360-2-in-1-16-ac0023dx-laptop-intel®-core™-ultra-7-processor-155u-16gb-ddr5-1tb-ssd-backlit-kb-16-wuxga-touchscreen-glacier-silver-pakistan-p.15903.aspx
978,"HP Envy x360 2-in-1 14-FC0023DX Laptop | Intel Core Ultra 7 Processor 155U 16GB Memory 1TB SSD Backlit KB Windows 11 14"" WUXGA Touchscreen | Meteor Silver",Laptops > Hp Laptops,"Rs.281,900",On Order Only,/laptops-hp-laptops-hp-envy-x360-2-in-1-14-fc0023dx-laptop-intel-core-ultra-7-processor-155u-16gb-memory-1tb-ssd-backlit-kb-windows-11-14-wuxga-touchscreen-meteor-silver-pakistan-p.15883.aspx
979,MSI GeForce RTX 4070 Ti GAMING X SLIM 12G Video Graphics Card,Graphic Cards > Nvidia GeForce,"Rs.283,000",In Stock,/graphic-cards-nvidia-geforce-msi-geforce-rtx-4070-ti-gaming-x-slim-12g-video-graphics-card-pakistan-p.15864.aspx
980,ViewSonic PG706HD 4000-Lumen Full HD DLP Projector,Projectors > All Projectors,"Rs.287,000",On Order Only,/projectors-all-projectors-viewsonic-pg706hd-4000-lumen-full-hd-dlp-projector-pakistan-p.11312.aspx
981,"MSI Modern 15 H B13M Laptop - Intel Core i9-13900H 32GB DDR4 1TB SSD Windows 11 15.6"" FHD IPS",Laptops > MSI Laptops,"Rs.289,000",On Order Only,/laptops-msi-laptops-msi-modern-15-h-b13m-laptop-intel-core-i9-13900h-32gb-ddr4-1tb-ssd-windows-11-15-6-fhd-ips-pakistan-p.15882.aspx
982,"Asus ROG Strix XG49VQ 49"" Super Ultra-Wide HDR Gaming Monitor, 144Hz",LCD/LED Monitors > Asus,"Rs.291,900",On Order Only,/lcd-led-monitors-asus-asus-rog-strix-xg49vq-49-super-ultra-wide-hdr-gaming-monitor-144hz-pakistan-p.8597.aspx
983,"Lenovo LOQ 16IRH8 Gaming Laptop - Intel Core i7-13620H 16GB DDR5 512GB SSD NVIDIA GeForce RTX 4050 6GB Backlit KB 16"" WQXGA 144Hz Display | Storm Grey | 82XW006JPS",Laptops > Lenovo Laptops,"Rs.298,900",Out of Stock,/laptops-lenovo-laptops-lenovo-loq-16irh8-gaming-laptop-intel-core-i7-13620h-16gb-ddr5-512gb-ssd-nvidia-geforce-rtx-4050-6gb-backlit-kb-16-wqxga-144hz-display-storm-grey-82xw006jps-pakistan-p.16005.aspx
984,"AOC G4309VX/D 43"" 4K HDR 1000 Gaming Monitor - Quantum Dot",LCD/LED Monitors > AOC,"Rs.299,000",On Order Only,/lcd-led-monitors-aoc-aoc-g4309vx-d-43-4k-hdr-1000-gaming-monitor-quantum-dot-pakistan-p.14522.aspx
985,"Apple MacBook Air 13.6"" - M2 8 Core, 8GB, 256GB SSD, 8 Core GPU - Midnight - MLY33LL/A",Laptops > Apple Laptops,"Rs.299,900",On Order Only,/laptops-apple-laptops-apple-macbook-air-13-6-m2-8-core-8gb-256gb-ssd-8-core-gpu-midnight-mly33ll-a-pakistan-p.13516.aspx
986,"Apple MacBook Air 13.6"" - M2 Chip, Silver - MLXY3",Laptops > Apple Laptops,"Rs.315,000",On Order Only,/laptops-apple-laptops-apple-macbook-air-13-6-m2-chip-silver-mlxy3-pakistan-p.13517.aspx
987,"Apple MacBook Air 13.6"" - M2 Chip, Starlight - MLY13",Laptops > Apple Laptops,"Rs.315,000",On Order Only,/laptops-apple-laptops-apple-macbook-air-13-6-m2-chip-starlight-mly13-pakistan-p.13518.aspx
988,"Apple MacBook Air 13.6"" - M2 8-Core, 8GB, 256GB SSD, 8-Core GPU, Space Gray - MLXW3LL/A | Non Active",Laptops > Apple Laptops,"Rs.315,000",On Order Only,/laptops-apple-laptops-apple-macbook-air-13-6-m2-8-core-8gb-256gb-ssd-8-core-gpu-space-gray-mlxw3ll-a-non-active-pakistan-p.13519.aspx
989,Logitech Scribe Whiteboard Camera for Video Conferencing Rooms | 960-001332,Cameras | Drones > Video Conferencing Solutions,"Rs.319,000",On Order Only,/cameras-drones-video-conferencing-solutions-logitech-scribe-whiteboard-camera-for-video-conferencing-rooms-960-001332-pakistan-p.15996.aspx
990,HP All-in-One 24-cb1039nh Bundle All-in-One PC (6W1B1EA),Desktop Computers > HP Desktop,"Rs.319,000",On Order Only,/desktop-computers-hp-desktop-hp-all-in-one-24-cb1039nh-bundle-all-in-one-pc-6w1b1ea-pakistan-p.15632.aspx
991,"Apple iPad Pro 12.9"" - M2 8-Core - 128GB - Wi-Fi (2022) - 6th Gen - Space Gray| MNXP3",Tablet PC > Apple Ipad,"Rs.320,000",On Order Only,/tablet-pc-apple-ipad-apple-ipad-pro-12-9-m2-8-core-128gb-wi-fi-2022-6th-gen-space-gray-mnxp3-pakistan-p.14147.aspx
992,"Apple iPad Pro 12.9"" - M2 8-Core - 128GB - Wi-Fi (2022) - 6th Gen - Silver | MNXQ3",Tablet PC > Apple Ipad,"Rs.320,000",On Order Only,/tablet-pc-apple-ipad-apple-ipad-pro-12-9-m2-8-core-128gb-wi-fi-2022-6th-gen-silver-mnxq3-pakistan-p.14148.aspx
993,"Lenovo LOQ 16IRH8 Gaming Laptop - Intel® Core™ i7-13620H 16GB 512GB NVIDIA® GeForce RTX™ 4060 8GB 16"" WUXGA IPS 144Hz G-SYNC Backlit KB | 82XW006QPS",Laptops > Lenovo Laptops,"Rs.328,900",On Order Only,/laptops-lenovo-laptops-lenovo-loq-16irh8-gaming-laptop-intel®-core™-i7-13620h-16gb-512gb-nvidia®-geforce-rtx™-4060-8gb-16-wuxga-ips-144hz-g-sync-backlit-kb-82xw006qps-pakistan-p.16006.aspx
994,"HP Spectre x360 2-in-1 14-EF2013DX Laptop - 13th Gen Intel Core i7-1355U, 16GB, 512GB SSD, Backlit KB, Fingerprint Reader, 13.5"" Wide Ultra XGA+ IPS Touchscreen, Windows 11 | Nightfall Black",Laptops > Hp Laptops,"Rs.335,000",Out of Stock,/laptops-hp-laptops-hp-spectre-x360-2-in-1-14-ef2013dx-laptop-13th-gen-intel-core-i7-1355u-16gb-512gb-ssd-backlit-kb-fingerprint-reader-13-5-wide-ultra-xga-ips-touchscreen-windows-11-nightfall-black-pakistan-p.14718.aspx
995,"Samsung Odyssey G9 G95SC 49"" OLED Curved DQHD HDR10+ Gaming Monitor - 0.03ms 240Hz | LS49CG954SMXUE",LCD/LED Monitors > Samsung,"Rs.335,000",On Order Only,/lcd-led-monitors-samsung-samsung-odyssey-g9-g95sc-49-oled-curved-dqhd-hdr10-gaming-monitor-0-03ms-240hz-ls49cg954smxue-pakistan-p.15895.aspx
996,ViewSonic PX748-4K - 4000 ANSI Lumens 4K UHD Home DLP Projector,Projectors > All Projectors,"Rs.335,000",On Order Only,/projectors-all-projectors-viewsonic-px748-4k-4000-ansi-lumens-4k-uhd-home-dlp-projector-pakistan-p.13776.aspx
997,"Lenovo LOQ 15IRH8 Gaming Laptop | Intel® Core™ i7-13700H 16GB 512GB NVIDIA® GeForce RTX™ 4060 8GB 15.6"" FHD IPS 144Hz G-SYNC Windows 11 | 82XV0013US",Laptops > Lenovo Laptops,"Rs.335,900",On Order Only,/laptops-lenovo-laptops-lenovo-loq-15irh8-gaming-laptop-intel®-core™-i7-13700h-16gb-512gb-nvidia®-geforce-rtx™-4060-8gb-15-6-fhd-ips-144hz-g-sync-windows-11-82xv0013us-pakistan-p.16007.aspx
998,"Apple MacBook Pro 13.3"" MNEP3 - Apple M2 8-Core Chip 8GB 256GB SSD - 10-Core GPU | Silver",Laptops > Apple Laptops,"Rs.340,000",On Order Only,/laptops-apple-laptops-apple-macbook-pro-13-3-mnep3-apple-m2-8-core-chip-8gb-256gb-ssd-10-core-gpu-silver-pakistan-p.13585.aspx
999,"Apple MacBook Pro 13.3"" MNEH3 - Apple M2 8-Core Chip 8GB 256GB SSD - 10-Core GPU | Space Gray",Laptops > Apple Laptops,"Rs.340,000",On Order Only,/laptops-apple-laptops-apple-macbook-pro-13-3-mneh3-apple-m2-8-core-chip-8gb-256gb-ssd-10-core-gpu-space-gray-pakistan-p.13378.aspx
1000,"OMEN by HP Gaming Laptop 16-WD0063DX 2023 - Intel Core i7 13620H 16GB DDR5 1TB SSD NVIDIA GeForce RTX 4050 6GB Backlit KB 16.1"" FHD IPS 144Hz Display Windows 11 | Shadow Black",Laptops > Hp Laptops,"Rs.343,000",On Order Only,/laptops-hp-laptops-omen-by-hp-gaming-laptop-16-wd0063dx-2023-intel-core-i7-13620h-16gb-ddr5-1tb-ssd-nvidia-geforce-rtx-4050-6gb-backlit-kb-16-1-fhd-ips-144hz-display-windows-11-shadow-black-pakistan-p.15020.aspx
1001,"Apple MacBook Air 15.3"" Laptop - Apple M2 8-Core CPU - 10-Core GPU - 8GB - 256GB SSD | MQKP3 MQKR3 MQKW3 MQKU3",Laptops > Apple Laptops,"Rs.343,000",On Order Only,/laptops-apple-laptops-apple-macbook-air-15-3-laptop-apple m2-8-core-cpu-10-core-gpu-8gb-256gb-ssd-mqkp3-mqkr3-mqkw3-mqku3-pakistan-p.14824.aspx
1002,"AOC AGON AG493UCX2 Super Wide Curved Gaming Monitor - 48.8"" - Dual QHD - VA 165Hz - 1ms - Freesync Premium Pro - 1800R - USB-C - DisplayHDR 400 - KVM",LCD/LED Monitors > AOC,"Rs.348,000",On Order Only,/lcd-led-monitors-aoc-aoc-agon-ag493ucx2-super-wide-curved-gaming-monitor-48-8-dual-qhd-va-165hz-1ms-freesync-premium-pro-1800r-usb-c-displayhdr-400-kvm-pakistan-p.13904.aspx
1003,"Apple iPad Pro 11"" - Apple M2 Chip - 512GB - MNXJ3 | Silver - 4th Gen - WiFi Only",Tablet PC > Apple Ipad,"Rs.349,900",On Order Only,/tablet-pc-apple-ipad-apple-ipad-pro-11-apple-m2-chip-512gb-mnxj3-silver-4th-gen-wifi-only-pakistan-p.15482.aspx
1004,"Apple iPad Pro 11"" - Apple M2 Chip - 512GB - MNXH3 | Space Gray - 2022 - 4th Gen - WiFi Only",Tablet PC > Apple Ipad,"Rs.349,900",On Order Only,/tablet-pc-apple-ipad-apple-ipad-pro-11-apple-m2-chip-512gb-mnxh3-space-gray-2022-4th-gen-wifi-only-pakistan-p.15481.aspx
1005,"Apple MacBook Air 13.6"" Laptop | Apple M3 8-Core Chip 8GB 256GB - 8-Core GPU - MRXN3 MRXV3 MRXQ3 MRXT3 | Silver | Space Gray | Starlight | Midnight",Laptops > Apple Laptops,"Rs.350,000",On Order Only,/laptops-apple-laptops-apple-macbook-air-13-6-laptop-apple-m3-8-core-chip-8gb-256gb-8-core-gpu-mrxn3-mrxv3-mrxq3-mrxt3-silver-space-gray-starlight-midnight-pakistan-p.15886.aspx
1006,"Apple iPad Pro 12.9"" - M2 8-Core - 256GB - Wi-Fi (2022) - 6th Gen - Silver | MNXT3",Tablet PC > Apple Ipad,"Rs.350,000",On Order Only,/tablet-pc-apple-ipad-apple-ipad-pro-12-9-m2-8-core-256gb-wi-fi-2022-6th-gen-silver-mnxt3-pakistan-p.14251.aspx
1007,"Apple iPad Pro 12.9"" - M2 8-Core - 256GB - Wi-Fi (2022) - 6th Gen - Space Gray | MNXR3",Tablet PC > Apple Ipad,"Rs.350,000",On Order Only,/tablet-pc-apple-ipad-apple-ipad-pro-12-9-m2-8-core-256gb-wi-fi-2022-6th-gen-space-gray-mnxr3-pakistan-p.14250.aspx
1008,"HP Victus Gaming Laptop 16-R0046NIA | Intel® Core™ i7-13700H 16GB DDR5 1TB SSD NVIDIA® GeForce RTX™ 4060 16.1"" FHD 144Hz | Mica Silver",Laptops > Hp Laptops,"Rs.351,900",On Order Only,/laptops-hp-laptops-hp-victus-gaming-laptop-16-r0046nia-intel®-core™-i7-13700h-16gb-ddr5-1tb-ssd-nvidia®-geforce-rtx™-4060-16-1-fhd-144hz-mica-silver-pakistan-p.15973.aspx
