,name,categories,price,href
45,SILVERSTONE HYDROGON D120 ARGB WHITE,Cooling Solutions,"₨14,560",https://xtremehardware.pk/product/silverstone-hydrogon-d120-argb/
46,ID-Cooling ZF 12025 ARGB Trio Snow White Case Fan 3 Pack,"Cooling Solutions, Fans","₨15,000",https://xtremehardware.pk/product/id-cooling-zf-12025-argb-trio-snow-white-case-fan-3-pack/
47,BOOST ZEUS 750W PSU,Power Supply,"₨15,499",https://xtremehardware.pk/product/boost-zeus-750w-psu/
48,LIAN LI Strimer Plus V2 Triple 8 Pin Addressable RGB VGA Power Cable (Controller not included) Strimer Plus V2 Triple 8 Pin,Cables,"₨15,990",https://xtremehardware.pk/product/lian-li-strimer-plus-v2-triple-8pin/
49,SilverStone SST-ST65F-ES230 V1.1,Power Supply,"₨16,240",https://xtremehardware.pk/product/silverstone-sst-st65f-es230-v1-1/
50,Boost Hydra ARGB Liquid Cooler,Cooling Solutions,"₨16,500",https://xtremehardware.pk/product/boost-hydra-argb-liquid-cooler/
51,SILVERSTONE SST ST650 EF WBW WHITE,Power Supply,"₨16,800",https://xtremehardware.pk/product/silverstone-sst-st650-ef-wbw-white/
52,ID-COOLING FROZN A620 Black,Cooling Solutions,"₨17,000",https://xtremehardware.pk/product/id-cooling-frozn-a620-black/
53,GIGABYTE B450M S2H (WITHOUT BOX),Motherboard,"₨18,000",https://xtremehardware.pk/product/gigabyte-b450m-s2h-without-box/
54,ID-COOLING SE 207 XT BLACK Advanced,Cooling Solutions,"₨18,000",https://xtremehardware.pk/product/id-cooling-se-207-xt-black-advanced/
55,ASUS PRIME A320M-E,Motherboard,"₨18,500",https://xtremehardware.pk/product/asus-prime-a320m-e/
56,DeepCool PK650D 80+ Bronze (UK) Power Supply,Power Supply,"₨18,500",https://xtremehardware.pk/product/deepcool-pk650d-80-bronze-uk-power-supply/
57,ASUS A21 micro-ATX case BLACK,Casing,"₨18,900",https://xtremehardware.pk/product/asus-a21-micro-atx-case-black/
58,SILVERSTONE VIVA 650 Bronze,Power Supply,"₨19,040",https://xtremehardware.pk/product/silverstone-viva-650-bronze/
59,DeepCool AK620 CPU Air Cooler Black,Cooling Solutions,"₨19,200",https://xtremehardware.pk/product/deepcool-ak620-cpu-air-cooler-black/
60,DeepCool AK620 CPU Air Cooler White,Cooling Solutions,"₨19,800",https://xtremehardware.pk/product/deepcool-ak620-cpu-air-cooler-white/
61,ASUS A21 micro-ATX case WHITE,Casing,"₨20,350",https://xtremehardware.pk/product/asus-a21-micro-atx-case-white/
62,XPG STARKER Air Mid-Tower PC Case,Casing,"₨20,500",https://xtremehardware.pk/product/xpg-starker-air-mid-tower-pc-case/
63,DeepCool PK750D 80+ Bronze (UK) Power Supply,Power Supply,"₨20,500",https://xtremehardware.pk/product/deepcool-pk750d-80-bronze-uk-power-supply/
64,XPG STARKER Air Mid-Tower PC Case – White,Casing,"₨20,500",https://xtremehardware.pk/product/xpg-starker-air-mid-tower-pc-case-white/
65,GIGABYTE A320M-S2H,Motherboard,"₨21,000",https://xtremehardware.pk/product/gigabyte-a320m-s2h/
66,AMD RYZEN 5 4500  Processor(Tray),Processors,"₨21,000",https://xtremehardware.pk/product/amd-ryzen-5-4500-processortray/
67,SILVERSTONE FARA B1 PRO V2,Casing,"₨21,000",https://xtremehardware.pk/product/silverstone-fara-b1-pro-v2/
68,SILVERSTONE FARA R1 PRO V2,Casing,"₨21,000",https://xtremehardware.pk/product/silverstone-fara-r1-pro-v2/
69,SILVERSTONE VIVA 750 Bronze,Power Supply,"₨21,280",https://xtremehardware.pk/product/silverstone-viva-750-bronze/
70,ID-COOLING DashFlow 240 Basic 240mm AIO CPU Cooler Black,Cooling Solutions,"₨21,500",https://xtremehardware.pk/product/id-cooling-dashflow-240-basic-240mm-aio-cpu-cooler-black/
71,Lian Li LANCOOL 205 Case – Black,Casing,"₨22,000",https://xtremehardware.pk/product/lancool-205-black/
72,MAXSUN CHALLENGER B450M,Motherboard,"₨22,000",https://xtremehardware.pk/product/maxsun-challenger-b450m/
73,Asus Prime A320M-K,Motherboard,"₨22,000",https://xtremehardware.pk/product/asus-prime-a320m-k/
74,SILVERSTONE FARA R1 WHITE PRO V2,Casing,"₨22,000",https://xtremehardware.pk/product/silverstone-fara-r1-white-pro-v2/
75,SILVERSTONE FARA 512Z,Casing,"₨22,000",https://xtremehardware.pk/product/silverstone-fara-512z/
76,SILVERSTONE FARA 511Z,Casing,"₨22,000",https://xtremehardware.pk/product/silverstone-fara-511z/
77,AMD Ryzen 5 3600 Tray,Processors,"₨22,000",https://xtremehardware.pk/product/amd-ryzen-5-3600-tray/
78,Boost Unicorn With 3 ARGB Fans Gaming Case,Casing,"₨22,500",https://xtremehardware.pk/product/boost-unicorn/
79,ID-COOLING DashFlow 240 Basic 240mm AIO CPU Cooler White,Cooling Solutions,"₨22,500",https://xtremehardware.pk/product/id-cooling-dashflow-240-basic-240mm-aio-cpu-cooler-white/
80,ID-Cooling ZoomFlow 240XT ARGB AIO Liquid CPU Cooler Black,Cooling Solutions,"₨22,500",https://xtremehardware.pk/product/id-cooling-zoomflow-240xt-argb-aio-liquid-cpu-cooler-black/
81,XPG Defender Mid-Tower PC Case – Black,Casing,"₨22,500",https://xtremehardware.pk/product/xpg-defender-mid-tower-pc-case-black/
82,XPG Defender Mid-Tower PC Case – White,Casing,"₨22,500",https://xtremehardware.pk/product/xpg-defender-mid-tower-pc-case-white/
83,ASUS Prime AP201 Tempered Glass Gaming Case (White),Casing,"₨22,900",https://xtremehardware.pk/product/asus-prime-ap201-tempered-glass-gaming-case-white/
84,Lian Li LANCOOL 205 Case – White,Casing,"₨23,000",https://xtremehardware.pk/product/lancool-205-white/
85,ID-Cooling ZoomFlow 240XT ARGB AIO Liquid CPU Cooler Snow White,Cooling Solutions,"₨23,500",https://xtremehardware.pk/product/id-cooling-zoomflow-240xt-argb-aio-liquid-cpu-cooler-snow-white/
86,Asus TUF Gaming GT301 ATX Mid-Tower Compact Case,Casing,"₨23,900",https://xtremehardware.pk/product/gt301-tuf-gaming-case/
87,BIOSTAR B560MH-E,Motherboard,"₨24,000",https://xtremehardware.pk/product/biostar-b560mh-e/
