,name,category,price,availability,href
0,2nd HDD/SSD SATA-III Caddy for Universal CD/DVD-ROM (Slim Version),Peripherals / Misc > HDD | SSD Enclosure,Rs.450,In Stock,/peripherals-misc-hdd-ssd-enclosure-2nd-hdd-ssd-sata-iii-caddy-for-universal-cd-dvd-rom-slim-version-pakistan-p.6808.aspx
1,A4tech AP-20S Mousepad,Peripherals / Misc > Mouse Pads | Wrist Rests,Rs.590,Out of Stock,/peripherals-misc-mouse-pads-wrist-rests-a4tech-ap-20s-mousepad-pakistan-p.13525.aspx
2,Onten 9130T USB-C To USB 3.0 OTG Adapter,Peripherals / Misc > Adapters | Converters | USB HUB | Chargers,Rs.600,In Stock,/peripherals-misc-adapters-converters-usb-hub-chargers-onten-9130t-usb-c-to-usb-3-0-otg-adapter-pakistan-p.13900.aspx
3,A4Tech FP20 Mousepad - Fstyler - Roll-up Fabric,Peripherals / Misc > Mouse Pads | Wrist Rests,Rs.750,In Stock,/peripherals-misc-mouse-pads-wrist-rests-a4tech-fp20-mousepad-fstyler-roll-up-fabric-pakistan-p.12800.aspx
4,Anker PowerLine 3ft Micro USB Cable A8132H12 (Black),Peripherals / Misc > Cables,Rs.870,In Stock,/peripherals-misc-cables-anker-powerline-3ft-micro-usb-cable-a8132h12-black-pakistan-p.8950.aspx
5,Logitech B100 Optical USB Mouse,Mouse > Logitech,Rs.880,In Stock,/mouse-logitech-logitech-b100-optical-usb-mouse-pakistan-p.1117.aspx
6,Epson 103 EcoTank Black Ink Bottle 65ml for Printer Bulk,Cartridges & Toners > Ink Bottle,Rs.900,In Stock,/cartridges-toners-ink-bottle-epson-103-ecotank-black-ink-bottle-65ml-for-printer-bulk-pakistan-p.15576.aspx
7,Hoco U93 1.2m 2.4A USB to Lightning Data Charging Cable | Red Black,Peripherals / Misc > Cables,Rs.900,In Stock,/peripherals-misc-cables-hoco-u93-1-2m-2-4a-usb-to-lightning-data-charging-cable-red-black-pakistan-p.14931.aspx
8,D-Link CAT6 Networking Cable UTP Patch Cord 3m - NCB-C6UGRYR1-3,Network Products > Patch Cords,Rs.950,In Stock,/network-products-patch-cords-d-link-cat6-networking-cable-utp-patch-cord-3m-ncb-c6ugryr1-3-pakistan-p.5443.aspx
9,A4Tech OP-330S Wired USB Mouse,Mouse > A4 Tech Mouse,Rs.970,In Stock,/mouse-a4-tech-mouse-a4tech-op-330s-wired-usb-mouse-pakistan-p.12947.aspx
10,"USB 3.0 2.5"" Enclosure for SATA SSD & HDD Case",Peripherals / Misc > HDD | SSD Enclosure,"Rs.1,030",In Stock,/peripherals-misc-hdd-ssd-enclosure-usb-3-0-2-5-enclosure-for-sata-ssd-hdd-case-pakistan-p.8230.aspx
11,Griffin USB-C to Lightning Charge Sync Cable 3ft for iPhone | White,Peripherals / Misc > Cables,"Rs.1,350",In Stock,/peripherals-misc-cables-griffin-usb-c-to-lightning-charge-sync-cable-3ft-for-iphone-white-pakistan-p.14506.aspx
12,"HP 14"" Chroma CMF Geo Laptop Sleeve SHR66AV",Laptop Accessories > Sleeves,"Rs.1,400",In Stock,/laptop-accessories-sleeves-hp-14-chroma-cmf-geo-laptop-sleeve-shr66av-pakistan-p.14574.aspx
13,Kingston DataTraveler Exodia Onyx 64GB USB 3.2 Flash Drive | DTXON/64GB,USB Flash Drives > Kingston,"Rs.1,450",In Stock,/usb-flash-drives-kingston-kingston-datatraveler-exodia-onyx-64gb-usb-3-2-flash-drive-dtxon-64gb-pakistan-p.14515.aspx
14,"AmazonBasics 13.3"" Urban Laptop Sleeve Blue",Laptop Accessories > Sleeves,"Rs.1,500",In Stock,/laptop-accessories-sleeves-amazonbasics-13-3-urban-laptop-sleeve-blue-pakistan-p.14742.aspx
15,SanDisk Ultra microSDXC UHS-I 64GB Memory Card SDSQUNR-064G-GN3MN,Memory Cards > MicroSD Memory Cards,"Rs.1,550",Out of Stock,/memory-cards-microsd-memory-cards-sandisk-ultra-microsdxc-uhs-i-64gb-memory-card-sdsqunr-064g-gn3mn-pakistan-p.13279.aspx
16,HP DHE-7000 Music Headset In-Ear Headphone White,Headsets | Headphones | Mic > Headsets | Headphones,"Rs.1,600",In Stock,/headsets-headphones-mic-headsets-headphones-hp-dhe-7000-music-headset-in-ear-headphone-white-pakistan-p.15728.aspx
17,Anker PowerLine 3ft USB-C to USB 3.0 - A8163H21,Peripherals / Misc > Cables,"Rs.1,600",In Stock,/peripherals-misc-cables-anker-powerline-3ft-usb-c-to-usb-3-0-a8163h21-pakistan-p.8721.aspx
18,Bloody B-088S X-Thin Gaming Mousepad,Peripherals / Misc > Mouse Pads | Wrist Rests,"Rs.1,650",In Stock,/peripherals-misc-mouse-pads-wrist-rests-bloody-b-088s-x-thin-gaming-mousepad-pakistan-p.7425.aspx
19,TP-Link LS1005 5-Port 10/100Mbps Desktop Switch - Ver 1.0,Network Products > Switches,"Rs.1,700",In Stock,/network-products-switches-tp-link-ls1005-5-port-10-100mbps-desktop-switch-ver-1-0-pakistan-p.9014.aspx
20,"AmazonBasics 13.3"" Urban Laptop Sleeve Grey",Laptop Accessories > Sleeves,"Rs.1,700",In Stock,/laptop-accessories-sleeves-amazonbasics-13-3-urban-laptop-sleeve-grey-pakistan-p.14743.aspx
21,Bloody BP-45 Gaming Mousepad - Naraka,Peripherals / Misc > Mouse Pads | Wrist Rests,"Rs.1,700",In Stock,/peripherals-misc-mouse-pads-wrist-rests-bloody-bp-45-gaming-mousepad-naraka-pakistan-p.14953.aspx
22,Bloody BP-50L Gaming Mouse Mat/Pad - Black,Peripherals / Misc > Mouse Pads | Wrist Rests,"Rs.1,750",In Stock,/peripherals-misc-mouse-pads-wrist-rests-bloody-bp-50l-gaming-mouse-mat-pad-black-pakistan-p.13414.aspx
