,name,categories,price,href
0,Razer Goliathus Mouse Pad Small,"Gaming Products, Mouse Pad",₨500,https://xtremehardware.pk/product/razer-goliathus-mouse-pad-small/
1,Boost Squirrel PC Case Fan,"Cooling Solutions, Fans","₨1,000",https://xtremehardware.pk/product/boost-squirrel-pc-case-fan/
2,ID-COOLING FROST X05 3G Thermal Paste,Cooling Solutions,"₨1,000",https://xtremehardware.pk/product/id-cooling-frost-x05-3g-thermal-paste/
3,ID-Cooling FS-04 PWM Fan Splitter Cable,Cables,"₨1,000",https://xtremehardware.pk/product/id-cooling-fs-04-pwm-fan-splitter-cable/
4,Razer Goliathus Mouse Pad,"Gaming Products, Mouse Pad","₨1,000",https://xtremehardware.pk/product/razer-goliathus-mouse-pad/
5,ID-COOLING Frost X25 2G Ultra High Thermal,Cooling Solutions,"₨1,350",https://xtremehardware.pk/product/id-cooling-frost-x25-2g-ultra-high-thermal/
6,Boost Squirrel PC Case Fan ARGB,"Cooling Solutions, Fans","₨1,400",https://xtremehardware.pk/product/boost-squirrel-pc-case-fan-argb/
7,ID-Cooling FS-06 5V 3Pin ARGB Splitter Cable,Cables,"₨1,500",https://xtremehardware.pk/product/id-cooling-fs-06-5v-3pin-argb-splitter-cable/
8,IBuyPower Ares M2 Mouse,"Gaming Products, Mouse","₨1,500",https://xtremehardware.pk/product/ibuypower-ares-m2-mouse/
9,RYSH MOUSEPAD FLO RGB ILLUMINATION GAMING MOUSEPAD – M,"Gaming Products, Mouse Pad","₨1,500",https://xtremehardware.pk/product/rysh-mousepad/
10,XL Extra Large Gaming Mousepad for Full Desk,"Gaming Products, Mouse Pad","₨1,500",https://xtremehardware.pk/product/xl-extra-large-gaming-mousepad-for-full-desk/
11,Thunder TOM-M9 double click mouse,Mouse,"₨1,500",https://xtremehardware.pk/product/thunder-tom-m9-double-click-mouse/
12,ID-COOLING FROST X05 5G Thermal Paste,Cooling Solutions,"₨1,550",https://xtremehardware.pk/product/id-cooling-frost-x05-5g-thermal-paste/
13,ID-COOLING Frost X25 4G Ultra High Thermal,Cooling Solutions,"₨2,000",https://xtremehardware.pk/product/id-cooling-frost-x25-4g-ultra-high-thermal/
14,ID-COOLING MP-8040 Gaming Mouse Pad,Mouse Pad,"₨2,000",https://xtremehardware.pk/product/id-cooling-mp-8040-gaming-mouse-pad/
15,Excavator EX-Q5 CPU COOLER,Cooling Solutions,"₨2,000",https://xtremehardware.pk/product/excavator-ex-q5/
16,500 GB SATA Desktop Hard Drive-Internal,Hard Drives,"₨2,000",https://xtremehardware.pk/product/500-gb-sata-desktop-hard-drive-internal/
17,ALTEC LANSiNG ALGM-9304,"Gaming Products, Mouse","₨2,000",https://xtremehardware.pk/product/altec-lansing-algm-9304/
18,AUKEY XL MOUSE PAD,"Gaming Products, Mouse Pad","₨2,000",https://xtremehardware.pk/product/aukey-xl-mouse-pad/
19,Logitech H111 Stereo Headset,Headphones / Earphones,"₨2,200",https://xtremehardware.pk/product/logitech-h111-stereo-headset/
20,EKSA EM110 RGB Gaming Mouse,"Gaming Products, Mouse","₨2,500",https://xtremehardware.pk/product/eksa-em110-rgb-gaming-mouse/
21,Lenovo-Thinkplus g40 Pro Gaming Headset with Microphone,Headphones / Earphones,"₨2,500",https://xtremehardware.pk/product/lenovo-thinkplus-g40-pro-gaming-headset-with-microphone/
22,Excavator C120 LED CPU Air Cooler – LGA 1700 Supported,Cooling Solutions,"₨3,000",https://xtremehardware.pk/product/excavator-c120-led-cpu-air-cooler-lga-1700-supported/
23,Boost Groove Wireless Headset,Headphones / Earphones,"₨3,000",https://xtremehardware.pk/product/boost-groove-wireless-headset/
24,MONSTER AiRMARS N5 RGB USB GAMiNG HEADPHONES 7.1 SURROUND,Headphones / Earphones,"₨3,000",https://xtremehardware.pk/product/monster-airmars-n5-rgb-usb-gaming-headphones-7-1-surround/
25,LIAN LI LANCOOL II -2X LED STRIP,Cables,"₨3,200",https://xtremehardware.pk/product/lian-li-lancool-ii-2x-led-strip/
26,TP-Link TL-WR844N,Network Products,"₨3,300",https://xtremehardware.pk/product/tp-link-tl-wr844n/
27,REDRAGON H120 ARES WIRED GAMING HEADSET,Headphones / Earphones,"₨3,300",https://xtremehardware.pk/product/redragon-h120-ares-wired-gaming-headset/
28,ID-COOLING HA-02 Fun Hub,Fans,"₨3,500",https://xtremehardware.pk/product/id-cooling-ha-02-fun-hub/
29,L9000 COMBO MOUSE AND KEYBOARD AND PAD,"Gaming Products, Keyboard","₨3,500",https://xtremehardware.pk/product/l9000-combo-mouse-and-keyboard-and-pad/
30,HikVision E100 128GB,Solid-State Drives (SSD),"₨3,500",https://xtremehardware.pk/product/hikvision-e100-128gb/
31,Boost Symphony BT Speaker,Speakers,"₨3,500",https://xtremehardware.pk/product/boost-symphony-bt-speaker/
32,Boost Sonic Wireless Headset,Headphones / Earphones,"₨3,500",https://xtremehardware.pk/product/boost-sonic-wireless-headset/
33,ID-COOLING DK-03 CPU Cooler Black,"Cooling Solutions, Fans","₨3,500",https://xtremehardware.pk/product/id-cooling-dk-03-cpu-cooler-black/
34,Aegis Prism 120B ARGB 3 Fan Kit,Fans,"₨3,500",https://xtremehardware.pk/product/aegis-prism-120b-argb-3-fan-kit/
35,TP-Link TL-WR841N V9,Network Products,"₨3,850",https://xtremehardware.pk/product/tp-link-tl-wr841n-v9/
36,TGM-99C BLADE,"Gaming Products, Mouse","₨3,900",https://xtremehardware.pk/product/tgm-99c-blade/
37,Boost Boombastic RGB Wireless Bluetooth Speaker,Speakers,"₨3,999",https://xtremehardware.pk/product/boost-boombastic-rgb-wireless-bluetooth-speaker/
38,AORUS 120 ARGB FAN,"Cooling Solutions, Fans","₨4,000",https://xtremehardware.pk/product/aorus-120-argb-fan/
39,TP-Link TL-WR845N,Network Products,"₨4,300",https://xtremehardware.pk/product/tl-wr845n/
40,HP Mechanical Gaming Keyboard GK100,"Gaming Products, Keyboard","₨4,500",https://xtremehardware.pk/product/hp-mechanical-gaming-keyboard-gk100k55-rgb-pro-gaming-keyboard-copy/
41,TGM-36C ECLIPS,"Gaming Products, Mouse","₨4,500",https://xtremehardware.pk/product/tgm-36c-eclips/
42,Steelseries  QCK+ PUBG MIRAMAR EDITION,"Gaming Products, Mouse Pad","₨4,500",https://xtremehardware.pk/product/steelseries-qck-pubg-miramar-edition/
43,Excavator G400 Cpu Cooler,Cooling Solutions,"₨4,500",https://xtremehardware.pk/product/excavator-g400-cpu-cooler/
44,AOC GK410 RGB MECHANICAL GAMING KEYBOARD,"Gaming Products, Keyboard","₨4,500",https://xtremehardware.pk/product/aoc-gk410-rgb-mechanical-gaming-keyboard/
45,SILVERSTONE IMF70 ARGB,Cooling Solutions,"₨4,800",https://xtremehardware.pk/product/silverstone-imf70-argb/
46,Focal 256GB – SSD Sata 2.5,Solid-State Drives (SSD),"₨5,000",https://xtremehardware.pk/product/focal-256gb-ssd-sata-2-5/
47,THUNDER TGP-18L FORTUNE MOUSEPAD,"Gaming Products, Mouse Pad","₨5,000",https://xtremehardware.pk/product/thunder-tgp-18l-fortune-mousepad/
48,DeepCool GAMMAXX 400 V2,Cooling Solutions,"₨5,000",https://xtremehardware.pk/product/deepcool-gammaxx-400-v2/
49,Lian Li UNI Fan AL120 RGB 120mm Daisy Chain UF-AL120-1W (White x 1,Cooling Solutions,"₨5,000",https://xtremehardware.pk/product/lian-li-uni-fan-al120-rgb-120mm-daisy-chain-uf-al120-1w-white-x-1/
50,ID-COOLING SE-903-XT CPU Cooler 3 Heatpipes Black,"Cooling Solutions, Fans","₨5,200",https://xtremehardware.pk/product/id-cooling-se-903-xt-cpu-cooler-3-heatpipes-black/
51,Lexar DDR4 RAM 8GB High speed up to 3200MHz,Memory Module / RAM,"₨5,500",https://xtremehardware.pk/product/lexar-ddr4-ram-8gb-high-speed-up-to-3200mhz/
52,Hikvision 256GB SSD,Solid-State Drives (SSD),"₨5,500",https://xtremehardware.pk/product/hikvision-256gb-ssd/
53,Boost Puma PC Case,Casing,"₨6,000",https://xtremehardware.pk/product/boost-puma-pc-case/
54,Klevv 256GB NVMe M.2 SSD,Solid-State Drives (SSD),"₨6,000",https://xtremehardware.pk/product/klevv-256gb-nvme-m-2-ssd/
